url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/aldaka,unknown,Aldaka,Extremely rare,Mountains,1 week,1 - 10 gold,"The roots of this plant must be brewed over a low fire for one week, and the resulting distillation drunk. If used successfully, the sight will be restored to the recipient provided the eye remains.",
https://www.shinseina.world/post/almyrós,unknown,Almyrós,,,,,"The Alm salt is divided into colors, each one having its own unique properties.
White alm: Normal kitchen salt, traditional for all clans
Blue alm: Has a bittersweet taste, good for people that have cardiac problems (Almost non-lethal for races with salt weaknesses)
Pink alm: The second most bitter alm, excellent for meat, but if consumed in excess, can cause cardiac and skin problems. (Lethal for races with salt weaknesses)
Orange alm: Has a bitter spicy taste, adequate for sauces and can be freely consumed.(Non-lethal for races with salt weaknesses)
Green alm: Has a sour taste, fits pretty well with salads or general vegetables. Can give diarrhea and stomach aches when consumed too much. (Lethal for common races with salt weaknesses, non-lethal for powerful ones)
Red alm: The most bitter out of all alms, it’s so powerful that ordinary people normally throw up after tasting less than a gram. Can even be poisonous in the hands of an alchemist. (Extremely lethal for all races with salt weaknesses)",
https://www.shinseina.world/post/aqua-wolf,unknown,E- Aqua Wolf,,Ocean.,,,A species of wolves that have evolved to live underneath the water and thus lives in deep oceans. They move in packs of 4 and hunts fishes so they often will not attack a person unless threatened. They are said to taste like fish.,
https://www.shinseina.world/post/arcane-crystal,unknown,Arcane Crystal,,,,,"A very rare crystal that is infused with an immense amount of mana, granting it extraordinary magical properties, many even believe that the crystal isn't naturally formed, but rather a crystal that was artificially created many years ago, and has passed through the trials of time to exist today. The Arcane Crystal is highly sought after by magic users due to its ability to amplify magical abilities and cast spells more effectively, along with its ability to absorb and store mana in it that can then be supplemented to whatever it's attached to. Its use can be dangerous, however, as it has been known to cause intense magical feedback if mishandled or overused. Due to its rarity and powerful properties, the market value of Arcane Crystal isn't known, as it isn't sold publically.",
https://www.shinseina.world/post/ambertim,unknown,Asarabacca,Rare - Can be found in Spring,Temperate forest,Grounded or boiled.,35 silvers,"Asarabacca is a creeping vine with many small leaves each on its own small stalk. It also has small purple flowers. These flowers must be brewed up on a fire and left to stand. When administered successfully to someone, It will render them docile and they will be unable to become violent. It can be negated by extreme force of will.",
https://www.shinseina.world/post/asarabacca,unknown,Asarabacca,Rare - Can be found in Spring,Temperate forest,Grounded or boiled.,35 silvers,"Asarabacca is a creeping vine with many small leaves each on its own small stalk. It also has small purple flowers. These flowers must be brewed up on a fire and left to stand. When administered successfully to someone, It will render them docile and they will be unable to become violent. It can be negated by extreme force of will.",
https://www.shinseina.world/post/autymopal,unknown,Autymopal,"Rare+

Region: Indigenous to Chusei only

Preparation: Honey-esc center scooped out and boiled with various liquids to create various tasting syrups. Leaves are to be burned for one minute which leaves a smell repulsive to mana entities.

Cost: 50 copper per flower bud

Description: A flower indigenous to Chusei only, with an edible center that lightly flows yellow. The flower leaves are prized by religious entities for warding odd spirits or harmful mana entities. The bud honey itself is often bottled in Chusei and used as various syrups or honeys. It’s seen as respectful to place the flower with no gooey interior on someone’s grave in Chusei, as it’s a sign of respect and recognition to the community. The flower grows on trees unlike many would assume for a flower.",,,,,
https://www.shinseina.world/post/averistone,unknown,Averistone,,,,,"Averistone is a very rare mineral that can be found in high-altitude mountain peaks and floating lands. The mineral has only recently begun to appear to due to the sudden change in the world and holds rather unique properties. While the mineral itself isn't very durable as compared to others, it has the ability to lessen the impact of magic-based attacks by absorbing a portion of the mana. Averistone is also known to have a strong resistance to magical attacks, making it a valuable component in magical armor and weapons. Due to its rarity and powerful properties, Averistone is highly sought after and commands a high price in the market, with most public markets not even having them.",
https://www.shinseina.world/post/b-apex-titanothere,unknown,No Title,,,,,,
https://www.shinseina.world/post/b-artemis-fowl,unknown,B - artemis fowl,,,,,"
Updated: Jun 30, 2024
Abilities: 

• Quite Agile and Fast, around x5 times faster than a human 
• Fire and Heat Immunity, and can create and control fire through a fire blast from it's mouth or eat fire. 
• Burning Features, ex. claws and bites can burn on contact 
• Strong Bite Force, strong enough to bend steel. 
• Body is covered in a stone tough molten shell, and on the inside it's all living fire. 
• Wolf like capabilities  

Danger Ranking: B  

Rarity: Rare+  

Region: Desert   

Description: Named after a bird, in relative to how a phoenix would revive. When a corpse of a wolf, or a dog is left near a powerful mana source with fire nearby, they fuse to become a Atremis Fowl. A far cry from its relative, the Hellhound, the Atremis is a living fire covered in a tough shell capable of resisting most conventional weaponry. With a burning bite and scratches to the touch, and other fire capabilities it is to not be underestimated.",
https://www.shinseina.world/post/b-bachihebi,unknown,B- Bachihebi,,,,,"
Updated: Jun 30, 2024
Abilities:
•Very strong senses
•Spit a flammable poisonous gas(That they can ignite)
•Immune to fire and explosions
•Tough and sharp scales
•Rows of teeth
•Water breathing(some)

Danger Ranking: B

Rarity: Uncommon

Region: Ocean and Forest

Description: A race of large serpents that lack eyes but make up for that with their strong sensory abilities. Some live in the forest but most tend to live in the deeper parts of the ocean. They are uncommon to find, but if found are very dangerous due to their ability to breathe flammable gas and sharp scales that cut through wood.",
