url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/grlythite,unknown,Grlythite,,,,,"
Updated: Feb 9, 2023
Color: Black

Mineral Location: Corrupted land

Mineral Rarity: Uncommon

Moh Hardness Ranking: 3.5

Melting Point: 900°C

Solubility: Very Soluble in basic liquid

Market Value: 10 silver per pound

Description: Sometimes, when a creature has died in the corrupted land of Shinseina, it’s bones and materials compress beneath the land into a triangular prism. This process is only possible on the corrupted land due to its unique mana characteristics. They are very potent with shadow and earth mana. The prisms practically melt in base liquids, but acidic liquids do not seem to have any effect to Glythite. It is unknown why Glythite forms into prisms, but they are often used in the creation of assassin weapons or in laboratories to handle dangerous liquids.",
https://www.shinseina.world/post/humanless-human,unknown,F- Humanless-Human,,Anywhere,,,"A creature made from the corpse of a human body that has been killed in a vicious or brutal manner. They are rarely made, but if they are, they seemingly just wander around attacking anything they find, hunting for the person or thing that previously killed its human body. They have no memories or traits left of their human life, simply a walking husk of death.",
https://www.shinseina.world/post/gummdo,unknown,E- Ice Wolf,,Frozen areas.,,,"A type of wolf that is primarily made to survive in colder weather. With ice and snow covering its body, they can blend into the snowy environment and hunt whatever they find. They tend to move in groups of around 5-8 at a time.",
https://www.shinseina.world/post/ice-wolf,unknown,E- Ice Wolf,,Frozen areas.,,,"A type of wolf that is primarily made to survive in colder weather. With ice and snow covering its body, they can blend into the snowy environment and hunt whatever they find. They tend to move in groups of around 5-8 at a time.",
https://www.shinseina.world/post/heaven-or-hell-keeper,unknown,No Title,,,,,,
https://www.shinseina.world/post/icedo,unknown,Icedo,Rare+,Forest,Eating,N/A,"Upon taking one bit from the fruit, the rest of the fruit vanishes, and the user gains a new ability; this makes it so the user can not gain an ability from another fruit of a similar nature and is unable to touch purified water. This fruit grants the ability to create and control ice.",
https://www.shinseina.world/post/heliem,unknown,F- Ignis Faatus,,Swamps and Forest.,,,"Also known as ""will'o'wisp,"" it is a fire ghost that generally tends to roam in swamps and forests at night and appears as a floating ball of fire. They can't speak or do anything besides lead people who have gotten lost out. They are generally harmless and are formed from the spirit of dead animals killed violently by fire.",
https://www.shinseina.world/post/ignis-faatus,unknown,F- Ignis Faatus,,Swamps and Forest.,,,"Also known as ""will'o'wisp,"" it is a fire ghost that generally tends to roam in swamps and forests at night and appears as a floating ball of fire. They can't speak or do anything besides lead people who have gotten lost out. They are generally harmless and are formed from the spirit of dead animals killed violently by fire.",
https://www.shinseina.world/post/illuso,unknown,No Title,,,,,,
https://www.shinseina.world/post/inseventol,unknown,Inseventol,Uncommon,"Forests, Mountains, Swamp",None,Illegal,"Inseventol is a plant that has evolved to produce a venomous liquid within its roots that can be used to control insects. When the roots are crushed or broken, it releases a sweet-smelling sap that attracts nearby insects and even weak insect-type faunas to the source of the scent. Once the insects come into direct contact with the sap, they enter a state of frenzy, where they start attacking everything around them regardless of if they are normally hostile or not. While this venom doesn't work on people or animals, it is still considered illegal due to how it can be used.",
https://www.shinseina.world/post/intagado,unknown,Intagado,Legendary,Forest,Eating,N/A,"Upon taking one bit from the fruit, the rest of the fruit vanishes, and the user gains a new ability; this makes it so the user can not gain an ability from another fruit of a similar nature and is unable to touch purified water. This fruit grants the user the ability to completely make their body intangible from physical, magical, and even soul-related matters; in this form, however, they also can't do anything, and they can't move.",
https://www.shinseina.world/post/jatala,unknown,No Title,,,,,,
https://www.shinseina.world/post/joywhisper,unknown,Joywhisper,Uncommon,Forest,None,15 Copper,"The pollen that this flower produces, when inhaled, can cause the user to feel a false sense of happiness and joy, often relaxing their mind and body while dulling all senses.",
https://www.shinseina.world/post/kinnávari,unknown,Kinnávari,,,,,"A mineral previously used as a pigment in ancient times for body painting and monuments, was abandoned because of its toxic properties. After centuries and centuries, the ores, as well as all pigments, all accumulated a specific amount of mana which allows the toxic mercury to be easily released with the most minimal amounts of mana.",
https://www.shinseina.world/post/kelp-bells,unknown,Kelp Bells,Common,"Oceans, Kelp Forests",Cut up and boil.,Illegal,"Kelp Bells are masive formations of Kelp that have formed and fused together. It grows from the seabed and climbs up with long stems reaching several dozen or even several hundred meters in length. It is topped with an oval bell-shaped bladder, hence the name. This bell is open at the bottom and has an air pocket inside that seemingly lasts forever, as the plant produces an excess ammount of Oxygen that it offshoots within the ""bell"" of the plant. It is illegal to harvest and sell as it is deemed a necessity for underwater exploration, and was nearly wiped out from over-farming. When consuming pieces of a Kelp Bell, it allows the user to hold their breath for 5x as long as usual.",
https://www.shinseina.world/post/kraken-s-bell,unknown,Kraken's Bell,Rare,Corrupted Swamp,The acid juice required to be diluted and be boiled while the tentacles can be roasted or fried,5 silver,"A type of carnivorous plant that mutated after the swamp had become corrupted, it lays its tentacles on the ground 10 meters around it and entangle an unsuspecting prey that step o. It before being dragged inside the Bell shaped flower where it would begin the digesting process. In order to harvest it, it requires a person to cut it's stem. The acid juice inside the flower of the plant can be turned into a medicine that cures diseases related to the digestive system, while the tentancles tasted like a squid and being highly nutritious",
